ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1-26,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,5-4,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,5-11,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,6-3,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,7-2,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,7-8,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1002-2,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1002-3,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1006,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1008,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1010-2,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1010-3,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1010-4,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1011,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1012,,
45341-3502-1.zip,202202100953,北諸県郡三股町花見原,1016,,
45341-3502-1.zip,202202100953,北諸県郡三股町,地区外-180945,,
45341-3502-1.zip,202202100953,北諸県郡三股町,地区外-180946,,
45341-3502-1.zip,202202100953,北諸県郡三股町,地区外-180947,,
45341-3502-1.zip,202202100953,北諸県郡三股町,地区外-180948,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,50-1,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,50-2,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,50-3,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,50-4,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-1,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-2,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-3,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-4,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-5,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,51-6,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,54-1,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,54-2,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,55-1,,
45341-3502-2.zip,202202100953,北諸県郡三股町大字樺山,55-2,,
